Coremeasure,Identifiant,Nom,Points,Origine,Categorie,Labels,DesactivationDesc,Desactivation,Indicateurs_WIP,Calcul du score lié à l'indicateur,Tags,Adaptation - Flags,Adaptation - Descriptifs,Adaptation - calcul,Description,Exemples non exhaustifs,Preuves,Périmètre de l'évaluation et renvoi vers d'autres fiches actions,Contexte et enjeux,Ressources,Réglementation,Retours d'expérience
,1.1.5.3,Bâtir un plan d’actions avec les EPCI dans l'objectif de réduire les déchets et d'améliorer leur qualité,"1,5",Eci_1.2.4.1,Mise en œuvre,te_eci,,"si identite(soustype, syndicat) alors FAUX
 sinon VRAI",,,,,,,"Par sa connaissance des flux de déchets gérés, le syndicat est capable d'identifier les gisements de déchets problématiques à optimiser (secteurs, filières, flux de ressources consommées, usagers, …). Sur cette base, le syndicat peut ainsi prendre un rôle d'animateur pour un dialogue avec et entre ses EPCI adhérents, dans l’objectif de les aider à bâtir un plan d’actions complémentaires à celui du syndicat, faisant appel aux compétences des EPCI (développement économique par exemple). Les actions en faveur de la sobriété sont également prises en considération.",,,,,,,
,1.1.5.4,S’assurer que la stratégie présente des indicateurs spécifiques dotés d’objectifs,"1,8",Eci_1.3.1,Effets,te_eci,,,,,,,,,"L'efficacité de la politique économie circulaire de la collectivité dépend de sa capacité à suivre, évaluer et adapter ses plans d'actions. Pour cela, la collectivité doit mettre en œuvre des outils de reporting, quantifier les résultats obtenus et adapter/réorienter régulièrement les actions envisagées.
 Dans le cadre de sa stratégie, la collectivité détermine : 
 - Des indicateurs de moyens lui permettant de piloter la mise en œuvre du programme d’actions ;
 - Des indicateurs de résultats lui permettant de mesurer l’atteinte des objectifs assignés aux actions ;
 - Des indicateurs d'impacts lui permettant de mesurer les effets produits par sa politique ECi tels que la réduction des impacts sur les ""milieux"" (environnemental et social). 
 En accord avec la stratégie, elle détermine un objectif pour chaque indicateur spécifique.
 Les indicateurs sont suivis avec des données fiables et constantes. Leur méthode de calcul ne change pas, autant que possible.","- Identifier des indicateurs par action ou domaine d'actions, ainsi que leurs objectifs et usages.
 - Estimer l'efficience de la politique ECi en faisant le rapport entre moyens mobilisés et résultats obtenus et impacts réduits (comparer avec d'autres collectivités pour progresser et partager les bonnes pratiques)
 - Identifier des indicateurs transversaux et spécifiques aux secteurs activités ou filières stratégiques du territoire.
 - Mettre en place la collecte de données pour suivre les indicateurs identifiés.
 - Rendre accessibles certaines données pertinentes aux acteurs du territoire afin d'alimenter leurs actions et motivation(s).
 La collectivité peut s'inspirer de la liste d'indicateurs proposés dans le cadre du Référentiel",,,,,,
coremeasure,1.1.6,"Suivre l'avancement, évaluer régulièrement et valoriser la politique de transition écologique","16,0",,,"te_cae,te_eci","#1 Si la collectivité est un EPCI : pas de réduction de potentiel
 #2 Si la collectivité est une commune :
 - elle n’est pas interrogée sur les indicateurs de la sous-mesure « Suivre et évaluer l’avancement du territoire au regard des objectifs et des trajectoires de la stratégie de transition écologique »
 - le potentiel est réduit à 47,5% par rapport à un EPCI",,"cae_2.ab,cae_1.a,cae_63.a,cae_4.g,te_1",,,,,,"La collectivité suit annuellement des indicateurs opérationnels pour évaluer la dynamique sur le territoire de la mise en œuvre de la stratégie et du plan d’actions de transition écologique de la collectivité, mais aussi mesurer son impact environnemental. 
 La collectivité adopte une méthodologie claire et précise visant à évaluer l’avancement et l’efficacité de sa stratégie de transition écologique et de son plan d'actions, afin de les ajuster si nécessaire. 
 La collectivité communique et informe les acteurs du territoire de l’avancement du plan d’actions.
 La définition des indicateurs pertinents n’est pas évaluée ici mais dans le cadre des mesures relatives aux diagnostics, aux stratégies et plan d’actions.",,,,,"- La sobriété foncière pour atteindre le ZAN, un atout pour les territoires - AVIS de l'ADEME : https://librairie.ademe.fr/urbanisme-territoires-et-sols/7857-avis-de-l-ademe-la-sobriete-fonciere-pour-atteindre-le-zan-un-atout-pour-les-territoires.html 
 - Guide synthétique sur le ZAN, Ministère de la Transition Ecologique et de la Cohésion des Territoires : ZAN : Guide synthétique | Portail de l'artificialisation (developpement-durable.gouv.fr)
 - + guides complet fascicule de mise en forme de la réforme ZAN (définir/observer / Planifier/mobiliser/accompagner) : https://artificialisation.developpement-durable.gouv.fr/fascicules-zan
 - En chemin vers la planification bas carbone : https://librairie.ademe.fr/urbanisme/5662-en-chemin-vers-la-planification-bas-carbone.html
 - Recueil de documents d’urbanisme pour la transition écologique – Agir via les SCoT et les PLU(i) : https://librairie.ademe.fr/urbanisme/6019-recueil-de-documents-d-urbanisme-pour-la-transition-ecologique.html 
 - « Le PLU(i) au service de la transition bas carbone » : https://librairie.ademe.fr/urbanisme-territoires-et-sols/7891-le-plui-au-service-de-la-transition-bas-carbone.html 
 - Référentiel d’évaluation AEU2 pour la planification urbaine : Approche Environnementale de l’Urbanisme 2, qui vise à accompagner un projet de développement ou une opération d’aménagement : https://librairie.ademe.fr/urbanisme/3801-referentiel-d-evaluation-aeu2-pour-la-planification-urbaine.html
 - Objectif ""Zéro Artificialisation nette"" (ZAN)et contribution de l'ADEME : état de l’art analytique et contextualisé : https://librairie.ademe.fr/urbanisme-et-batiment/4784-objectif-zero-artificialisation-nette-zan-et-contribution-de-l-ademe.html#/44-type_de_produit-format_electronique 
 - ADEME Clés pour Agir « Faire la ville dense, durable et désirable », 2022 : https://librairie.ademe.fr/urbanisme-et-batiment/5989-faire-la-ville-dense-durable-et-desirable-9791029720192.html
 - Expérimentation objectif ZAN (Ademe) : https://experimentationsurbaines.ademe.fr/territoires-zero-artificialisation-nette/ 
 - Observatoire de l’artificialisation : https://artificialisation.developpement-durable.gouv.fr/ 
 - Fiches outils « Concertation et urbanisme » proposées par la DREAL Occitanie. Aide à la préparation d’une démarche de concertation d’un document d’urbanisme à travers huit étapes : http://www.occitanie.developpement-durable.gouv.fr/la-concertation-publique-r8073.html
 - ClimUrba du Cerema : outil d'aide à la prise en compte des enjeux climat, air, énergie dans la planification urbaine, permettant d’identifier les leviers à actionner dans les documents de planification (PLUi et SCOT) : https://climurba.cerema.fr/
 - GES-URBA du Cerema-Ademe qui permet de comparer plusieurs scénarios d’aménagement,
 - Dossier de la Fédération Nationale des Agences d’Urbanisme sur les dispositifs aidant un territoire à tendre vers l’objectif de zéro artificialisation nette - mai 2021 : https://www.fnau.org/fr/publication/vers-lobjectif-de-zero-artificialisation-nette/
 - Urbanisme durable dans les territoires d'Outre – Mer : https://librairie.ademe.fr/urbanisme-et-batiment/2335-urbanisme-durable-dans-les-territoires-d-outre-mer-l--9791029702464.html
 - Rapport AACT AIR MODELAIRURBA : https://librairie.ademe.fr/air-et-bruit/6026-modeliser-la-qualite-de-l-air-dans-un-secteur-d-urbanisation-contraint.html
 - Outils - Méthode MUSE : https://librairie.ademe.fr/urbanisme-et-batiment/5415-muse-integrer-la-multifonctionnalite-des-sols-dans-les-documents-d-urbanisme.html
 - Outils pour les collectivités - Mon diagnostic artificialisation : https://mondiagartif.beta.gouv.fr/
 - UrbanVitaliz - un service numérique via lequel une équipe spécialisée vous guide dans la réhabilitation des friches, orientation vers les acteurs compétents et les financements disponibles : https://urbanvitaliz.fr/
 - SDIE : Intégrer les friches à risque de pollution dans les démarches de planification territoriale : https://librairie.ademe.fr/urbanisme-et-batiment/5223-integrer-les-friches-a-risque-de-pollution-dans-les-demarches-de-planification-territoriale-guide.html",,
,1.1.6.1,Se doter d’outils et de moyens pour suivre et évaluer son plan d’actions,"1,6","Cae_5.1.4.1.1 (1)
 Cae_5.1.4.1.2 (1)
 Cae_5.1.4.1.3 (1)
 Cae_5.1.4.3.3 (1)
 Eci_1.3.2.2 (0,5)
 Cae_5.1.4.1.4 (1)
 Eci_2.1.3 (0,5)",Bases,"te_cae,te_eci",,,,,,,,,"La collectivité met en place un outil de suivi (tableau de bord), définit les modalités, la fréquence, les responsables et l'instance de suivi (si différente du comité du pilotage).
 La collectivité a défini des questions évaluatives et la démarche d’évaluation définit les moyens et outils qui permettent d’y répondre.","- Disposer d’une démarche du suivi et évaluation clairement définie pour l’ensemble des composantes du plan de transition écologique : fréquence de suivi et de restitution à l’instance de suivi (au minimum annuelle), méthodologie de suivi : de la progression du plan d’actions et de l’atteinte des objectifs, responsabilité et modalités de collecte des informations et d’actualisation du tableau de bord.
 - Constituer et mettre en place une instance spécifique de suivi-évaluation : pour l’interne cela peut être le comité de pilotage transition écologique, une instance élargie (habitants, acteurs socio-économiques) peut également être mise en place pour le suivi. 
 - Disposer d’un tableau de bord opérationnel pour le suivi du plan d’actions : 
 o Avec pour chaque objectif opérationnel, un indicateur de suivi, qui soit mesurable, pertinent et compréhensible par le COPIL avec la fréquence de mise à jour, la source de données identifiée, un objectif chiffré si possible ou une tendance 
 o Avec pour chaque action, un responsable identifié, une planification pluriannuelle, un budget et un champ pour renseigner l’état d’avancement. 
 - Répondre à minima aux questions évaluatives suivantes : « Quel est le niveau d’avancement de notre démarche ? », « Quel impact a-t-elle eu sur le territoire ? », « A-t-elle permis de mobiliser les acteurs ? », « Les moyens de mise en œuvre de la politique sont-ils suffisants ? », … 
 - Identifier les moyens et outils pour répondre à chaque question d’évaluation (entretiens, ateliers, rapports annuels existants, suivi des indicateurs, etc.)",,,,,,
,1.1.6.2,Suivre et évaluer l’avancement du territoire au regard des objectifs et des trajectoires de la stratégie de transition écologique,"10,5",,Effets,"te_cae,te_eci",,,,,,,,,,,,,,,,
,1.1.6.2.a,Suivre et évaluer l’avancement du territoire au regard des objectifs et des trajectoires de la stratégie de transition écologique,"2,1","Cae_1.1.1.7 (1)
 Cae_5.1.4.2.1 (1)
 Eci_1.3.2.1 (1)
 Cae_5.1.4.2.2 (1)
 Cae_5.1.4.2.3 (1)
 Eci_1.3.2.2 (0,5)",Effets,"te_cae,te_eci",,,,,,,,,"La collectivité met en œuvre une démarche de suivi et d’évaluation de sa politique de transition écologique. Cette démarche intègre la dynamique d’évolution des indicateurs en lien avec les objectifs cibles et les trajectoires retenues. 
 Elle s’appuie notamment sur les principes suivants :
 - Suivi, évaluation et documentation des résultats à partir d’un ensemble d’indicateurs pertinents, incluant a minima l’évolution de la consommation énergétique finale du territoire, des émissions de GES et de la séquestration nette de CO₂ au regard des trajectoires de référence retenues (SNBC territorialisée ou trajectoire définie par la collectivité). 
 - Suivi des indicateurs relatifs aux polluants atmosphériques.
 - Des indicateurs complémentaires définis par la collectivité peuvent également être mobilisés, chacun disposant d’un niveau de référence, d’un objectif cible et d’une analyse de sa dynamique d’évolution. 
 - Analyse de la planification des années précédentes (les actions planifiées et réalisées).
 
 La collectivité réalise au moins annuellement le suivi du plan d’actions et a minima tous les 3 ans, le suivi des objectifs et indicateurs de la stratégie de transition écologique.","- Analyser la réalisation des actions planifiées, les résultats obtenus, l’évolution des indicateurs et l'atteinte des objectifs pour l’ensemble des thématiques de transition écologique ciblées par la stratégie et le programme d’actions. Cette analyse est à la fois quantitative et qualitative ;
 - Analyser les écarts entre le réalisé et le prévisionnel et avoir une réflexion sur les explications. Présenter les résultats dans un document synthétique 
 - Actualiser annuellement l'état d'avancement des actions et en établir le bilan sur la base des indicateurs de résultats et/ou d’impact pertinents et des retours d’expérience. 
 - Partager le tableau de bord et le document de synthèse avec l’équipe projet et la gouvernance pour validation (a minima à l’occasion de la réunion annuelle)",,,,,,
,1.1.6.2.b,Évolution de la consommation énergétique finale du territoire par rapport à la trajectoire SNBC territorialisée,"2,10",,Effets,"te_cae,te_eci",,"si identite(type, commune) alors VRAI
 sinon FAUX",,,,,,,,,,,,,,
,1.1.6.2.c,Évolution des émissions de gaz à effet de serre (GES) du territoire par rapport à la trajectoire SNBC territorialisée,"2,10",,Effets,"te_cae,te_eci",,"si identite(type, commune) alors VRAI
 sinon FAUX",,,,,,,,,,,,,,
,1.1.6.2.d,Evolution de la séquestration nette de CO₂ dans les sols et biomasse (forêt) par rapport à la trajectoire SNBC territorialisée,"2,10",,Effets,"te_cae,te_eci",,"si identite(type, commune) alors VRAI
 sinon FAUX",,,,,,,,,,,,,,
,1.1.6.2.e,Evolution des émissions de polluants atmosphériques par rapport aux objectifs choisis par la collectivité,"2,10",,Effets,"te_cae,te_eci",Cet indicateur est desactivé si la collectivité est soumise à un PPA,"si identite(type, commune) alors VRAI
 sinon si reponse(PPA, OUI) alors VRAI
 sinon FAUX",,,,,,,,,,,,,,
,1.1.6.2.f,Evolution de la qualité de l'air par rapport aux objectifs choisis par la collectivité,"2,1",,,"te_cae,te_eci",Cet indicateur est desactivé si la collectivité n'est pas soumise à un PPA,"si identite(type, commune) alors VRAI
 sinon si reponse(PPA, NON) alors VRAI
 sinon FAUX",,,,,,,,,,,,,,
,1.1.6.3,Mettre à jour la stratégie et le plan d’actions afin d’assurer l’atteinte des objectifs de la stratégie,"2,1","Cae_5.1.4.4.1 (1)
 Cae_5.1.4.4.2 (1)
 Eci_1.3.2.4 (1)",Effets,"te_cae,te_eci",,,,,,,,,"Sur la base de l’analyse du suivi des objectifs et du plan d’actions, la collectivité ajuste en conséquence son plan d’actions et éventuellement sa stratégie.
 La stratégie dans sa globalité est revue et mise à jour au moins tous les 3 ans (ou selon les échéances de révision du PCAET, du PLPDMA et des autres documents stratégiques).","- Mettre à jour en conséquence le plan d’actions de transition écologique chaque année (calendrier de réalisation, budget, responsables de chaque action) 
 - A l'issu du bilan annuel, la stratégie peut être ajustée si des changements sont motivés. Sinon la stratégie est mise à jour à (tous les 3 à 6 ans) à l’occasion d’évaluation à mi-parcours et d’évaluation finale
 - Mettre en place un cycle d'amélioration continue objectif-planification-réalisation-contrôle-objectif.",,,,,,
,1.1.6.4,Communiquer et informer les acteurs du territoire de l’avancement du plan d’actions,"1,80","Cae_5.1.4.3.1 (1)
 Cae_5.1.4.3.2 (1)
 Cae_5.1.4.3.4 (1)
 Eci_1.1.5.1 (1)
 Eci_1.1.5.2 (1)
 Eci_1.1.5.3 (1)
 Eci_1.3.2.3 (1)",Effets,"te_cae,te_eci",,,,,,,,,La collectivité communique les résultats annuels de la démarche aux parties prenantes et au public.,"- Publier le bilan annuel (au travers par exemple du rapport développement durable) et communiquer efficacement sur les résultats obtenus : en interne à l’ensemble des agents et des élus, dans les instances concernées (commissions, conseil municipal, bureau, conseil communautaire…) ; en externe sur le site de la collectivité, lors de réunions publiques, dans le rapport de transition écologique, dans le rapport d’activité… 
 - Valoriser à minima 50% des actions issues du programme d’actions. Il s’agit d’aller au-delà de l'exigence règlementaire de mise à disposition publique d'un rapport sur la mise en œuvre du PCAET au bout de 3 ans. Pour les actions déchets et prévention, le bilan est formalisé dans le rapport annuel du service public de prévention et de gestion des déchets ménagers et assimilés. 
 - Rendre accessible certains indicateurs pertinents aux acteurs du territoire",,,,,,
,1.2,Urbanisme,"26,0",,,,,,,,,,,,,,,,,,,
coremeasure,1.2.1,Intégrer dans les documents d'urbanisme réglementaire la mise en œuvre des objectifs de transition écologique,"8,0",,,"te_cae,te_eci","#Questionnement compétences 
 - La collectivité a-t-elle la compétence « Schéma de cohérence territoriale (SCoT) » ? Banatic C5500
 - La collectivité a-t-elle la compétence PLU « Plan local d’urbanisme » ou PLUi « Plan local d’urbanisme intercommunal » ? Banatic C5510
 #Réduction de potentiel 
 - #1 Si la collectivité a la compétence PLU/PLUi et/ou SCOT:
 o Pas de réduction de potentiel.
 - #2 Si la collectivité a uniquement la compétence SCoT :
 o « Assurer l’intégration des enjeux, des orientations et des objectifs de transition écologique dans le Plan local d’urbanisme, intercommunal le cas échéant (PLU(i)) » en « Non concerné ».
 o Le potentiel de points est de 70 % par rapport au potentiel d’une collectivité ayant la compétence.
 - #3 Si la collectivité n'a ni la compétence SCoT, ni la compétence PLU/PLUi, 
 o La collectivité est évaluée selon le questionnement alternatif « Participer activement à l’élaboration des documents d'urbanisme de planification (SCoT, PLUi, PLU) »
 o Le potentiel de points est de 25 % par rapport au potentiel d’une collectivité ayant la compétence. Exemples : Cas d'une commune ayant transféré la compétence à l'intercommunalité (PLUi) ; Cas d'un EPCI dont le SCoT est élaboré à l'échelle du PETR, et n'ayant pas la compétence PLUi ; cas d’un EPCI ayant un service d’accompagnement des PLU communaux","si reponse(SCoT, NON) ou reponse(urba_1, NON) alors VRAI
 sinon FAUX",cae_11.b,,,,,,"Les documents d’urbanisme réglementaire (SCoT, PLUi, PLU) intègrent l’analyse des enjeux environnementaux du territoire, ainsi que les orientations et objectifs de la stratégie de transition écologique de la collectivité, puis les traduisent concrètement et localement aux différentes échelles de planification. Ils définissent les modalités de leur prise en compte spatiale. Ils contribuent en particulier aux objectifs suivants :
 - Réduction nette des émissions de GES afin de contribuer à l’objectif national de neutralité carbone en 2050 de la SNBC (ZEN = Zéro Émission Nette)
 - Développement de la production d’énergies renouvelables et du stockage de l’énergie
 - Adaptation au changement climatique et gestion des risques naturels
 - Réduction de la pollution atmosphérique 
 - Réduction de l’exposition au bruit
 - Réduction des consommations de ressources et développement de l’économie circulaire,
 - Lutte contre l’artificialisation des sols afin de protéger des espaces naturels, agricoles et forestiers et de contribuer à l’objectif ZAN (Zéro Artificialisation Nette) en 2050.
 - Préservation et amélioration de la qualité des sols
 - Préservation et développement de la biodiversité 
 - Développement des puits naturels de carbone
 - Gestion de la ressource en eau
 - Gestion intégrée des eaux pluviales 
 Toutes les thématiques à enjeux environnementaux et de santé environnementale d’importance pour le territoire sont prises en compte.",,,,,"- Expérimentation Quartier Energie Carbone : https://experimentationsurbaines.ademe.fr/quartiers-e-c/ 
 - Guide Ademe / GRDF « Conjuguer Aménagement & Energie : des clés pour optimiser le mix énergétique », 2022 : https://librairie.ademe.fr/urbanisme-et-batiment/6062-conjuguer-amenagement-energie-des-cles-pour-optimiser-le-mix-energetique-9791029720178.html
 - « Guide de l’aménagement durable », 2023 : https://www.ecologie.gouv.fr/guide-lamenagement-durable
 - Référentiel EcoQuartier : http://www.ecoquartiers.logement.gouv.fr
 - La Ville Low Tech, nov. 2021 - ADEME - Institut Paris Region – AREP : https://www.institutparisregion.fr/fileadmin/NewEtudes/000pack2/Etude_2734/urbalotek-011641.pdf
 - Outil SESAME du CEREMA pour intégrer l’arbre dans les projets de renaturation urbaine : https://sesame.cerema.fr/",,
,1.2.1alter,"Participer activement à l’élaboration des documents d'urbanisme de planification (SCoT, PLUi, PLU)","2,0","Cae_1.3.1.1 (1)
 Cae_1.3.1.2 (1)
 Cae_1.3.1.3 (1)
 Cae_1.3.1.4 (1)
 Cae_1.3.1.5 (1)
 Eci_1.2.2 (1)
 Cae_1.3.1.6 (1)",,"te_cae,te_eci",,"si reponse(SCoT, OUI) alors VRAI
 sinon si reponse(urba_1, OUI) alors VRAI
 sinon FAUX",,,,,,,"La collectivité n’ayant ni la compétence SCoT, ni la compétence PLUi :
 - Participe ou a participé activement aux travaux d'élaboration du SCoT, PLUi ou PLUs, en défendant des contributions en faveur de la transition écologique
 - S’est approprié les objectifs supra
 - A travaillé en collaboration avec l'échelle supra pour décliner des règles d'urbanisme spécifiques (ex : choix d'appliquer le coefficient de biotope sur la commune), ou dans la définition d’orientations d'aménagement et de programmation sectorielle (OAP) du PLU(i) permettant d’intégrer des orientations en faveur de la transition écologique
 - Le cas échéant, propose un service d'accompagnement ou des outils d'aide à l'élaboration des PLUs avec une dimension écologique
 - A contribué via une formulation d'un vœu ou un avis sur les documents (PLUi ou SCoT) lors de la consultation.",,,,,,,
,1.2.1.1,"Assurer l’intégration des enjeux, des orientations et des objectifs de transition écologique dans l’ensemble des documents du Schéma de Cohérence Territoriale (SCoT)","2,4","Cae_1.3.1.1 (0,5)
 Cae_1.3.1.2 (0,5)
 Cae_1.3.1.3 (0,5)
 Cae_1.3.1.4 (0,5)
 Cae_1.3.1.5 (0,5)
 Eci_1.2.2 (0,5)",Mise en œuvre,"te_cae,te_eci",,,,,,,,,"Le SCoT a pour fonction de déterminer, à l’échelle d’un bassin de vie, l’organisation spatiale et les grandes orientations de développement du territoire, assurant l’articulation entre le SRADDET (dont il territorialise les objectifs) et les documents d’urbanisme réglementaire à la maille communale ou intercommunale (PLU(i)).
 Modernisé par l’ordonnance de juin 2020, le SCoT se structure désormais autour de 3 piliers obligatoires dont l’un porte spécifiquement sur :
 - Les transitions écologique et énergétique, 
 - La lutte accrue contre l’étalement urbain et le réchauffement climatique, 
 - La prévention des risques, 
 - La préservation et la valorisation des paysages, de la biodiversité et des ressources.
 Il s’agit d’apprécier l’intégration enjeux et objectifs de la transition écologique dans les différents documents qui composent le SCoT :
 - Le Projet d’Aménagement Stratégique (PAS) qui porte et présente le projet d’aménagement (la traduction du projet de territoire en projet d’organisation spatiale) et le projet de transition du territoire : il fixe les objectifs des politiques publiques d’urbanisme, du logement, des transports, de développement économique, de protection et de mise en valeur des espaces naturels, de lutte contre l’étalement urbain, de prévention et de remise en état des continuités écologiques.
 - Le Document d’Orientations et d’Objectifs (DOO) qui présente les orientations et objectifs du projet d’aménagement et qui est désormais articulé autour des 3 piliers obligatoires. Le DOO définit les orientations générales de l’organisation de l’espace et de la restructuration des espaces urbanisés, et les grands équilibres entre les espaces urbains et à urbaniser et les espaces naturels et agricoles ou forestiers ; il définit ainsi l’usage des espaces du territoire et les conditions d’ouverture à l’urbanisation de secteurs du territoire et les grands projets d’équipements (y compris pour la production d’énergie) et de services.
 - Les autres documents en Annexe : le diagnostic, l’analyse de la consommation foncière, la justification des choix retenus, l’évaluation environnementale et de manière facultative, le programme d’actions. 
 Pour les SCoT valant PCAET, une évaluation renforcée est faite sur l’intégration des enjeux CAE dans les différents documents du SCoT, sur les modalités de concertation ainsi que sur le programme d’actions.","Exemples de réalisations attendues :
 - Organiser un pilotage transversal du SCoT intégrant urbanisme, mobilité, habitat, énergie, biodiversité, ressources et économie circulaire.
 - Former élus et services aux enjeux de transition écologique et à la sobriété foncière et matérielle.
 - Inscrire dans le PAS : enjeux climat-biodiversité-ressources, trajectoire ZAN, sobriété foncière, économie circulaire (réemploi, limitation des flux matières, optimisation du foncier), équilibre et complémentarité des polarités urbaines et rurales, trame écologique.
 - Produire des cartographies synthétiques : continuités écologiques, zones à enjeux, potentiels de densification et de recyclage foncier, vulnérabilités climatiques.
 - Dans le DOO : définir des objectifs chiffrés (densité, artificialisation), orientations climat-énergie, mobilités, logements, biodiversité, eau, économie circulaire et préservation des ressources (sol, eau, matériaux).
 - Identifier des zones à renaturer et des secteurs prioritaires pour la sobriété et le réemploi foncier (friches, sites dégradés).
 - Intégrer dans les annexes : diagnostic CAE incluant ressources et économie circulaire, prospective territoriale et programme d’actions.
 - Accompagner la déclinaison dans les PLU(i), PLH, PDM etc.",,,,,,
,1.2.1.2,"Assurer l’intégration des enjeux, des orientations et des objectifs de transition écologique dans le Plan local d’urbanisme, intercommunal le cas échéant (PLU(i))","2,8","Cae_1.3.1.1 (0,5)
 Cae_1.3.1.2 (0,5)
 Cae_1.3.1.3 (0,5)
 Cae_1.3.1.4 (0,5)
 Cae_1.3.1.5 (0,5)
 Eci_1.2.2 (0,5)",Mise en œuvre,"te_cae,te_eci",,"si reponse(SCoT, NON) alors VRAI
 sinon FAUX",,,,,,,"La collectivité réalise une transcription ambitieuse du projet de transition écologique, ses enjeux, orientations et objectifs, dans les documents composant le Plan local d’urbanisme (intercommunal le cas échéant). 
 Le PLU(i) a pour fonction de déterminer les conditions d'un aménagement de l’espace respectueux des principes du développement durable en prévoyant des capacités de construction et de réhabilitation suffisantes pour la satisfaction des besoins en matière d'habitat et d'équipements publics, d'activités économiques, commerciales ou touristiques, de sport, et de culture. 
 Il s’agit d’apprécier l’intégration de la transition écologique dans les différents documents qui composent le PLU(i) :
 - Le Rapport de présentation qui détaille, à l’appui d’un diagnostic territorial, le projet d’aménagement et de développement durable, c’est-à-dire le projet d’urbanisme et les orientations générales des politiques d'aménagement, d'équipement, de protection des espaces naturels, agricoles et forestiers.
 - Les OAP (Orientations d'Aménagement et de Programmation) qui présentent, dans le respect du PADD (Projet d'Aménagement et de Développement Durables), les orientations propres à certains quartiers ou secteurs (OAP sectorielles) ou les orientations pour adresser une thématique identifiée (OAP thématiques).
 - Le règlement (et ses annexes) qui en cohérence avec le PADD, fixe les règles générales et les servitudes d’utilisation du sol permettant d’atteindre les objectifs. Le règlement est opposable à toute personne publique ou privée pour l'exécution de tous travaux ou constructions
 Pour l’élaboration d’un PLU(i) ambitieux sur la planification de la transition écologique, la collectivité : 
 - Assure le pilotage politique et technique de la démarche et organise la mobilisation et la formation des élus et des services pour l’intégration des enjeux de transition écologique dans le PLU(i). 
 - Intègre l’analyse des enjeux de transition écologique et les intentions du projet territorial de transition dans le rapport de présentation du PLU(i)
 - Intègre et spatialise les orientations du scénario de transition, ses orientations et objectifs dans les Orientations d’aménagement et de programmation du PLU(i)
 - Transcrit le projet de transition écologique dans le règlement du PLU(i) et ses annexes
 - Accompagne l’élaboration de la planification de l’habitat, des déplacements-mobilités et de l’énergie en lien avec le PLU(i).
 Les POS (Plan d'Occupation des Sols) et les cartes communales sont des documents anciens, qui sont aujourd'hui inadaptés pour intégrer les enjeux de la transition écologiques.","Exemples de réalisations attendues :
 - Organiser un pilotage transversal et former élus et services aux enjeux climat, ressources, sobriété foncière et économie circulaire.
 - Intégrer dans le diagnostic : émissions de GES, énergie, vulnérabilités climatiques, artificialisation/ENAF, potentiel de densification, consommation des ressources, enjeux d’économie circulaire ; produire les cartographies associées.
 - Dans le PADD : définir les objectifs climat-air-énergie, encadrer et réduire la consommation d’ENAF, organiser la sobriété foncière, prioriser les dents creuses et les friches, et assurer la cohérence avec les politiques de mobilité, d’habitat, d’énergie et d’économie circulaire.
 - Dans le règlement : renforcer la compacité du bâti, la gestion de l’eau, la végétalisation, la désimperméabilisation, le développement des énergies renouvelables, la sobriété matérielle, l’optimisation du foncier et la réduction des impacts sur les ressources.
 - Élaborer des OAP thématiques (biodiversité, climat, gestion de l’eau, etc.) et des OAP sectorielles pour les zones à enjeux.
 - Prévoir une cartographie locale du recul du trait de côte lorsque nécessaire.
 - Assurer la cohérence du PLU(i) avec les stratégies habitat, mobilités, énergie et ressources du territoire.
 - Intégrer les enjeux liés à la préservation de la ressource en eau, notamment en conditionnant l’urbanisation à la disponibilité de la ressource, de prendre en compte les enjeux de la qualité de l’eau potable et d’identifier les zones concernées par des aires d’alimentation des captages (surfaces sur lesquelles l'eau qui s'infiltre ou ruisselle contribue à alimenter la ressource en eau dans laquelle se fait le prélèvement.).",,,,,,
,1.2.1.3,Observer et suivre des indicateurs relatifs à l’intégration des objectifs de transition écologique dans les documents d’urbanisme,"2,8",,Effets,"te_cae,te_eci",,,,,,,,,,,,,,,,
