identifiant,nom,description,contexte,exemples,ressources,points,pourcentage,categorie,reductionPotentiel,perimetreEvaluation,desactivation,desactivationDesc,score,scoreDesc,reduction,reductionDesc,personnalisationQuestions,indicateurs,exprScore,Coremeasure
1.1.2,Réaliser le diagnostic Climat-Air-Énergie du territoire,"La collectivité effectue régulièrement (tous les 3 à 6 ans) une analyse de sa situation climat-air-énergie pour son territoire.

Cette analyse est réalisée de manière quantitative et qualitative, tous secteurs confondus (résidentiel, tertiaire, transport routier, autres transports, agriculture, déchets, industrie hors branche énergie, branche énergie).

De manière chiffrée, le bilan présente notamment :

-   les consommations et productions d'énergie, notamment renouvelable
    
-   les émissions de gaz à effet de serre
    
-   les émissions et les concentrations (dans les zones sensibles) de polluants atmosphériques
    
-   la séquestration de dioxyde de carbone","**Contexte et enjeux**

Les collectivités territoriales contribuent de façon directe à environ 12% des émissions nationales de GES et de façon indirecte, à plus de 50% si l’on prend en compte les politiques locales d’aménagement du territoire, d’urbanisme, d’habitat, de transport, etc. De plus, elles sont en capacité de toucher et de mobiliser un grand nombre d’acteurs locaux, dont les citoyens, ce qui est très important puisque la sphère privée représente à elle seule la moitié des émissions de GES. Concernant la qualité de l’air, les collectivités disposent de par leurs compétences de leviers d’actions pour la préserver ou l’améliorer, mais également de moyens de réduire leurs propres émissions via leur mode d’organisation.

Parmi les outils stratégiques dont disposent les collectivités, le Plan Climat Air Énergie Territorial (PCAET) est la référence en matière de réduction des émissions de GES et d’adaptation au changement climatique, car obligatoire pour les EPCI avec une population supérieure à 20 000 habitants. Pour le construire, la première étape indispensable consiste à réaliser un diagnostic climat-air-énergie.

Formulé de manière claire et synthétique, il vise à créer une prise de conscience chez les décideurs. Il doit également fournir des données chiffrées permettant de déterminer des objectifs pertinents et d’élaborer une stratégie cohérente.

Afin de quantifier l’impact des activités humaines sur le changement climatique, diverses méthodes de comptabilisation des émissions de gaz à effet de serre se sont développées ces 20 dernières années. Ces méthodes évoluent en fonction de l’objet étudié : territoire, organisation, produit, etc.

Le terme générique « Bilans GES » regroupe l’ensemble de ces démarches à l’échelle des organisations. Ce diagnostic permet d’avoir un état des lieux sur une année d’activité, de l’ensemble de ses émissions de gaz à effet de serre, réparties par poste d’émission, dans le but d’identifier des leviers d’actions de réduction et de mettre en place un plan de transition efficace et cohérent.

[https://bilans-ges.ademe.fr/ressources/contexte-et-enjeux-de-la-comptabilite-carbone](https://bilans-ges.ademe.fr/ressources/contexte-et-enjeux-de-la-comptabilite-carbone)

**Réglementation**

Art. L. 229-25 du code de l’environnement relatif au bilan GES (obligatoire pour les collectivités territoriales de plus de 50 000 habitants).

Art. R. 229-51 du code de l’environnement relatif au PCAET (obligatoire pour les EPCI > 20 000 habitants).","**Grenoble Alpes Métropole**

Bilan des précédents plans climat air énergie et diagnostic territorial pour le nouveau PCAET 2020-2030

Entre 2005 et 2016, les gaz à effet de serre ont diminué de 25 %.

Cette baisse est surtout liée à la réduction des émissions du secteur industriel (-43 %). Elle s’explique notamment par une baisse de l’activité, mais aussi par l’optimisation des procédés et l’utilisation de sources d’énergie moins polluantes. La baisse est par contre moins importante dans le secteur du logement (-12 %), des bureaux (-6 %) et des transports (-7 %).

En comptabilisant les émissions liées à la production et au transport de denrées alimentaires, de biens matériels et de services importés sur le territoire, l’empreinte carbone du territoire est de 3,7 millions de tonnes équivalent CO2 (teq CO2), soit 8,2 teq CO2 par habitant et par an. Un chiffre qui se situe dans la moyenne des dix plus grandes agglomérations françaises.

Un nouveau diagnostic territorial a été réalisé en 2019 et est détaillé ici :

[https://planclimat.grenoblealpesmetropole.fr/20-nouveau-plan-climat-air-energie.htm](https://planclimat.grenoblealpesmetropole.fr/20-nouveau-plan-climat-air-energie.htm)","Centre de ressources Bilans GES de l’ADEME (plateforme nationale pour la publication des bilans GES et ressources) : [https://bilans-ges.ademe.fr](https://bilans-ges.ademe.fr )

Données énergétiques territoriales pour la planification et l'action Energie-Climat, 2019 :

[https://librairie.ademe.fr/changement-climatique-et-energie/1322-donnees-energetiques-territoriales-pour-la-planification-et-l-action-energie-climat-n3-9791029711282.html](https://librairie.ademe.fr/changement-climatique-et-energie/1322-donnees-energetiques-territoriales-pour-la-planification-et-l-action-energie-climat-n3-9791029711282.html )",10,,,,"Ne pas évaluer ici le diagnostic de vulnérabilité du territoire au changement climatique (traité dans l’action 1.1.3).

Liens avec d’autres actions :

-   action 1.1.1 : « Définir la vision, les objectifs et la stratégie climat air énergie » pour les objectifs quantitatifs
    
-   action 6.1.1 : « Développer une stratégie partenariale à toutes les échelles » pour les relations avec les AASQA
    
-   action 2.1.1 : « Mettre en place une comptabilité énergétique et des émissions de GES des bâtiments publics »
    

Les bilans GES « Patrimoine et services » sont traités et valorisés dans le domaine 2 lorsqu'ils sont volontaires ou vont au-delà des exigences réglementaires. Cependant, la réalisation d’un bilan GES « territoire » est évaluée dans cette mesure. Il est obligatoire pour les collectivités >50000 habitants. Ces collectivités ne sont jugées alors que sur la mise en oeuvre.

Articulation commune - EPCI : Pour les communes, les bilans GES territoire réalisés à l'échelle intercommunale peuvent être pris en compte, si la collectivité a participé activement à leur réalisation (participation à des réunions, aide à la collecte de données...) et s'est appropriée les résultats (extraction des résultats communaux, communication...).",,,,,,,,,,x
1.1.2.0,Être en conformité vis-à-vis des obligations réglementaires (PCAET et BEGES),,,,,,0,bases,,,,,,,,,,,,
1.1.2.0.1,Être en conformité vis-à-vis des obligations réglementaires PCAET,,,,,,,,,,"si identite(type, commune) alors VRAI
sinon si identite(type, EPCI) et identite(population, moins_de_20000) alors VRAI
",Seuls les EPCI à fiscalité propre de plus de 20 000 habitants sont concernées par l'obligation de réaliser un PCAET.,,,,,,,,
1.1.2.0.2,Être en conformité vis-à-vis des obligations réglementaires BEGES,,,,,,,,,,"identite(population, moins_de_50000)
",Les collectivités de moins de 50 000 habitants ne sont pas concernées par l'obligation BEGES.,,,,,,,,
1.1.2.1,"Formaliser les engagements, recenser et synthétiser les données et études existantes","Nota :

Les collectivités obligées PCAET ne sont pas évaluées sur cette sous-action (1.1.2.1).

Les collectivités non obligées PCAET décidant de réaliser ce type de diagnostic (ou œuvrant pour la déclinaison communale du diagnostic de l'EPCI) peuvent être valorisés sur la base.",,,,,20,bases,,,"si identite(type, EPCI) et identite(population, plus_de_20000) alors VRAI
",Seuls les EPCI à fiscalité propre de plus de 20 000 habitants ne sont pas évaluées sur cette action.,,,"si identite(type, EPCI) et identite(population, plus_de_20000) alors 0
",,,,,
1.1.2.1.1,Formaliser les engagements par une décision politique (délibération),,,,,,,,,,,,,,,,,,,
1.1.2.1.2,Dédier des ressources humaines internes au diagnostic et/ou décider de confier une mission externe,,,,,,,,,,,,,,,,,,,
1.1.2.1.3,Mettre en place une base d'indicateurs du diagnostic,,,,,,,,,,,,,,,,,,,
1.1.2.1.4,"Recueillir les données énergétiques territoriales, GES et polluants atmosphériques existantes qui concernent le territoire",,,,,,,,,,,,,,,,,,,
1.1.2.1.5,Participer à la collecte et transmission des données pour les diagnostics réalisés à l’échelle intercommunale (communes uniquement),,,,,,,,,,"identite(type, EPCI)
",,,,,,,,,
1.1.2.2,Réaliser un bilan climat-air-énergie complet (diversité des indicateurs),Nota : L’analyse de la vulnérabilité au changement climatique est évaluée dans la mesure 1.1.3.,,,,,40,mise en œuvre,,,,,,,"si identite(type, EPCI) et identite(population, plus_de_20000) alors 5/4
","La note du référentiel actuel est à 40 %. Pour les EPCI plus de 20 000, la note de la sous-action passe à 50 %.",,,,
1.1.2.2.1,Disposer d'un inventaire des émissions de GES et de polluants atmosphériques,,,,,,,,,,,,,,,,,,,
1.1.2.2.2,Estimer la séquestration nette de dioxyde de carbone et de ses possibilités de développement,,,,,,,,,,,,,,,,,,,
1.1.2.2.3,Analyser la consommation énergétique finale du territoire et le potentiel de réduction de celle-ci.,,,,,,,,,,,,,,,,,,,
1.1.2.2.4,"Présenter les enjeux des réseaux de distribution et de transport d’électricité, de gaz et de chaleur.",,,,,,,,,,,,,,,,,,,
1.1.2.2.5,Analyser les productions énergétiques renouvelables sur le territoire et leur potentiel de développement.,,,,,,,,,,,,,,,,,,,
1.1.2.3,Adopter et présenter une méthodologie claire,,,,,,10,mise en œuvre,,,,,,,,,,,,
1.1.2.3.1,Les unités utilisées sont celles exigées réglementairement,,,,,,,,,,,,,,,,,,,
1.1.2.3.2,Expliciter la prise en compte ou non des émissions indirectes,,,,,,,,,,,,,,,,,,,
1.1.2.3.3,"Expliciter les sources et les données (année, acteurs, périmètres)",,,,,,,,,,,,,,,,,,,
1.1.2.4,Réaliser un diagnostic allant au-delà des exigences réglementaires,"Pour les communes : Déclinaison communale des principaux indicateurs, ""zoom"" géographique sur certaines thématiques",,,,,10,mise en œuvre,,,,,,,,,,,,
1.1.2.4.1,Prendre en compte les émissions indirectes,,,,,,,,,,,,,,,,,,,
1.1.2.4.2,Identifier les concentrations des principaux polluants et les populations exposées à des dépassements de normes,,,,,,,,,,,,,,,,,,,
1.1.2.4.3,Détailler finement l'analyse de chaque secteur,,,,,,,,,,,,,,,,,,,
1.1.2.5,Valoriser les résultats en interne et en externe,,,,,,20,mise en œuvre,,,,,,,"si identite(type, EPCI) et identite(population, plus_de_20000) alors 3/2
","La note du référentiel actuel est à 20 %. Pour les EPCI plus de 20 000, la note de la sous-action passe à 30 %.",,,,
1.1.2.5.1,Analyser les évolutions constatées,,,,,,,,,,,,,,,,,,,
1.1.2.5.2,Suivre l'évolution de la consommation en fonction des énergies,,,,,,,,,,,,,,,,,,,
1.1.2.5.3,Présenter les indicateurs aux agents et aux élus,,,,,,,,,,,,,,,,,,,
1.1.2.5.4,Réaliser l'appropriation des résultats par les communes pour les diagnostics à l’échelle de l’EPCI,,,,,,,,,,,,,,,,,,,
1.1.2.5.5,Communiquer les indicateurs aux acteurs du territoire et aux citoyens,,,,,,,,,,,,,,,,,,,
1.1.2.5.6,Utiliser les indicateurs pour prioriser les actions et orienter la politique de la collectivité,,,,,,,,,,,,,,,,,,,
1.1.2.5.7,Mettre à jour régulièrement les indicateurs,,,,,,,,,,,,,,,,,,,
