id,nom,actions,description
actions_partenariales_organismes_formation,"Actions partenariales avec les organismes de formation, les établissements d'enseignements supérieurs ou de recherche",cae_6.3.3.1,
PLPDMA,Programme local de prévention des déchets - PLPDMA,cae_1.2.3.1,
rapport_annuel_chauffage,Rapport annuel d’activités et de contrôle chauffage urbain,cae_3.1.1.1,
charte_agricole,Charte agricole,cae_6.4.1.7,
convention_structure_conseil_cae,Convention avec structures de conseil climat-air-énergie,cae_6.2.3.1,
note_info_projets_coop_internationale,Note d’information sur les projets menés ou financés dans le cadre de la coopération internationale,cae_6.1.1.5,
schema_mobilite_douce,Schéma mobilité douce/ schéma directeur vélo,cae_4.3.2.3,
suivi_plan_actions_cae,Tableau de suivi du plan d’actions climat-air-énergie,cae_5.1.2.3,
plan_mobilite,Plan de mobilité (PDM) / Plan de Mobilité Simplifié / ancien Plan de Déplacement Urbain / Schéma directeur mobilité,cae_1.2.2.1,
ratio_EP,Calcul ratio éclairage public,cae_2.3.1.4,
orga_stationnement,Organisation du stationnement et tarification,cae_4.2.1.2,
prog_rencontres_interregion_CAE,Programme rencontres interrégionales dans le domaine Energie et Climat,cae_6.1.1.2,
charte_concertation,Charte ou guide de la concertation / participation,cae_6.5.1.1,
bilan_opah,Rapport / bilan d’OPAH ou OPATB,cae_6.2.3.1,
tepos,TEPOS,cae_1.1.1.3,"<p>Possible de joindre aussi un éventuel avenant ou bilan intermédiaire</p>
"
orga_voirie,Cahier des prescriptions – organisation et conception des voies de desserte,cae_4.2.2.1,
brochure_reseau_cyclable,Brochure réseau cyclable,cae_4.3.2.2,
reglement_plu,Règlement du PLU (extrait sur une zone),cae_1.3.1.1,
ref_qualite_envir_constr,Référentiel de qualité environnementale dans la construction publique,cae_2.1.3.1,
rapport_diag_pcaet,"Rapports diagnostic, stratégie et plan d'actions du PCAET","cae_1.1.1.3, cae_1.1.2.1","<p>PCAET avec EES et résumé non technique ; éventuel bilan intermédiaire</p>
<p>Preuve identique à la 1.1.2.1</p>
"
