identifiant,nom,description,contexte,exemples,ressources,points,pourcentage,categorie,reductionPotentiel,perimetreEvaluation,desactivation,desactivationDesc,score,scoreDesc,reduction,reductionDesc,personnalisationQuestions,indicateurs,exprScore
1.1.2.2,Intégrer dans le diagnostic une analyse des secteurs économiques,,,,,,20,,,,,,,,,,,,
1.1.2.3,Intégrer dans le diagnostic une analyse des enjeux environnementaux,,,,,,20,,,,,,,,,,,,
1.1.2.4,Intégrer dans le diagnostic une analyse des enjeux sociaux,,,,,,20,,,,,,,,,,,,
1.1.2.5,Réaliser un recensement des acteurs et des initiatives,,,,,,20,,,,,,,,,,,,
1.1.3,Élargir la gouvernance en interne et en externe,"La collectivité met en place une gouvernance élargie permettant de construire une stratégie et des actions Economie Circulaire en adéquation avec la réalité du territoire. Co-construite avec les acteurs du territoire, la stratégie Economie Circulaire sera ainsi soutenue par les acteurs du territoire lors de sa mise en œuvre.",,"L'équipe Economie Circulaire associe à l'élaboration et au suivi de sa stratégie les autres services de la collectivité.

La collectivité organise une consultation et/ou une co-construction avec les acteurs du territoire pour son projet et sa stratégie Economie Circulaire.

Acteurs du territoire : acteurs économiques, associations, citoyens...

La collectivité cherche à co-construire ses actions avec les acteurs du territoire. Des espaces et temps d'échanges sont créés pour le partage de bonnes pratiques et la co-construction des actions.",,,20,bases,,,,,,,,,,,
1.1.3.1,Mettre en place un comité de pilotage interne élargi,,,,,,20,,,,,,,,,,,,
1.1.3.2,"Mettre en place une gouvernance élargie avec les représentants des acteurs du territoire (société civile, acteurs publics, acteurs économiques)",,,,,,30,,,,,,,,,,,,
1.1.3.3,Mettre en place des groupes de travail pour la construction des actions économie circulaire,,,,,,50,,,,,,,,,,,,
1.1.4,Adopter une stratégie et un programme d'actions Économie Circulaire,"Sur la base des résultats du diagnostic, la collectivité adopte le document cadre de la stratégie Economie Circulaire.

Elle crée un programme d'actions.",,"La stratégie (avec la Gouvernance élargie) :

-   Définir une vision à court, moyen et long termes de l'économie circulaire pour le territoire
    
-   Définir des objectifs clairs et atteignables pour avancer vers la vision
    

Le programme d'actions (avec les groupes de travail) :

-   Définir les actions permettant d'atteindre les objectifs
    
-   Définir le calendrier de réalisation
    
-   Définir les résultats des actions et les impacts attendus
    

Les exemples de leviers et de champs d'actions de la stratégie Economie Circulaire se trouvent dans les Axes 2, 3 et 4.

Exemples:

Comment mobiliser et accompagner le secteur économique dans le développement de l'économie de la fonctionnalité ?

Comment favoriser les achats durables chez les acteurs publics du territoire ?

Comment mobiliser différents publics sur le gaspillage alimentaire ?

Comment la collectivité peut agir sur les fournisseurs de matières premières pour améliorer l'approvisionnement durable : au niveau local (biomasse, eau, etc.), national et international (minerais, etc.)?",,,20,mise en œuvre,,,,,,,,,,,
1.1.4.1,"Intégrer dans la stratégie les enjeux économiques, environnementaux et sociaux",,,,,,15,,,,,,,,,,,,
1.1.4.10,Intégrer dans le programme d'actions des actions sur le pilier écologie industrielle et territoriale,,,,,,4,,,,,,,,,,,,
1.1.4.11,Intégrer dans le programme d'actions des actions sur le pilier économie de la fonctionnalité de l'économie circulaire,,,,,,4,,,,,,,,,,,,
1.1.4.12,Intégrer dans le programme d'actions des actions sur le pilier consommation responsable de l'économie circulaire,,,,,,4,,,,,,,,,,,,
1.1.4.13,Intégrer dans le programme d'actions des actions sur le pilier allongement de la durée d'usage de l'économie circulaire,,,,,,4,,,,,,,,,,,,
1.1.4.14,Intégrer dans le programme d'actions des actions sur le pilier recyclage de l'économie circulaire,,,,,,4,,,,,,,,,,,,
1.1.4.2,"Fixer dans la stratégie des caps à court, moyen et long terme",,,,,,15,,,,,,,,,,,,
1.1.4.3,"Cibler dans la stratégie la société civile, les acteurs publics et les acteurs économiques",,,,,,15,,,,,,,,,,,,
1.1.4.4,Couvrir dans la stratégie tous les axes de l'économie circulaire,,,,,,15,,,,,,,,,,,,
1.1.4.5,Intégrer dans le programme d'actions des actions vers la société civile,,,,,,4,,,,,,,,,,,,
1.1.4.6,Intégrer dans le programme d'actions des actions vers les acteurs publics,,,,,,4,,,,,,,,,,,,
1.1.4.7,Intégrer dans le programme d'actions des actions vers les acteurs économiques,,,,,,4,,,,,,,,,,,,
1.1.4.8,Intégrer dans le programme d'actions des actions sur le pilier approvisionnement durable de l'économie circulaire,,,,,,4,,,,,,,,,,,,
1.1.4.9,Intégrer dans le programme d'actions des actions sur le pilier éco-conception de l'économie circulaire,,,,,,4,,,,,,,,,,,,
1.1.5,Mettre en œuvre et valoriser les actions,"La collectivité met en œuvre sur ses compétences et de manière opérationnelle des actions co-construites avec les acteurs du territoire.

Elle capitalise les retours relatifs aux actions effectuées.",,"Organiser un suivi de la mise en œuvre des actions (par l'équipe technique et l'élu).

Communiquer efficacement et largement sur les résultats obtenus, au sein de la collectivité et à travers tout le territoire (sous forme de ""belles histoires"" via un site web, des évènements, des réseaux sociaux, etc.). Les acteurs du territoire prennent ainsi conscience de leur impact sur le développement de l'économie circulaire et adhérent plus facilement aux projets.

Ce retour d'expérience stimule d'autres territoires.",,,20,mise en œuvre,,,,,,,,,,,
1.1.5.1,Valoriser des actions antérieures à la stratégie,,,,,,20,,,,,,,,,,,,
1.1.5.2,Valoriser plus de 20% des actions issues du programme d'actions,,,,,,20,,,,,,,,,,,,
1.1.5.3,Valoriser plus de 50% des actions issues du programme d'actions,,,,,,20,,,,,,,,,,,,
1.1.5.4,Couvrir les différents piliers de l'économie circulaire avec le programme d'actions réalisé,,,,,,40,,,,,,,,,,,,
1.2,Développer une démarche transversale avec l'ensemble des politiques de la collectivité,"Une démarche transversale au sein de la collectivité implique une participation de tous les services dans l'objectif commun de développer l'économie circulaire.

Les équipes pilotes de la démarche économie circulaire doivent participer à la construction et à l'amélioration de l'ensemble des politiques.

Cette démarche transversale est aussi menée dans une logique d'éco-exemplarité.",,"[Démarche Territoire Engagé Transition Ecologique : Renforcer l'implication des élus et des DGS](https://librairie.ademe.fr/changement-climatique-et-energie/3894-demarche-climat-air-energie-cit-ergie-renforcer-l-implication-des-elus-et-des-dgs.html)

**Organisation : intervenir en transversalité**

En interne

[Exemple d'intégration de la prévention dans une démarche de transversalité avec d'autres politiques publiques (Nantes Métropole)](https://www.optigede.ademe.fr/fiche/integration-de-la-prevention-dans-une-demarche-de-transversalite-avec-dautres-politiques)

Au sein des différentes entités constituant le territoire

[Exemple d'animation d'un réseau de référents environnement (SYDED du Lot)](https://www.optigede.ademe.fr/fiche/animation-dun-reseau-de-referents-environnement) [Exemple d’éco-exemplarité à l’échelle des communes (SICTOM du Marsan)](https://optigede.ademe.fr/fiche/leco-exemplarite-lechelle-des-communes-du-sictom-du-marsan)

**Approches interservices**

Synergies entre différentes politiques publiques et prévention des déchets : Budget, Social, Enseignement, Emploi-Formation, Culture-Sport Jeunesse, Environnement :

[25 collectivités donnent de l’élan à leur territoire](https://optigede.ademe.fr/sites/default/files/prevention-dechets-collectivites-territoire.pdf) (pdf) [Exemple d'articulation entre un programme local de prévention et un agenda 21 (Vannes Agglo Golfe du Morbihan)](https://www.optigede.ademe.fr/fiche/articulation-dun-programme-local-de-prevention-des-dechets-avec-un-agenda-21)

**Synergies avec les acteurs de la politique Logement**

[Labellisation des immeubles pour le tri et la réduction des déchets : exemple de la Communauté d'Agglomération d'Annecy](https://optigede.ademe.fr/fiche/labellisation-des-immeubles-avec-une-charte-dengagements-partages-pour-le-tri-et-la-reduction) [Guides thématiques des régies de quartier](https://www.regiedequartier.org/ressources/guides-thematiques/)

**Synergies avec les acteurs de la jeunesse et de la petite enfance**

[Enseigner l’utilisation des couches lavables aux professionnels d’accueil de la petite enfance : exemple de KERVAL Centre Armor](https://optigede.ademe.fr/fiche/enseigner-lutilisation-des-couches-lavable-aux-futurs-professionnels-daccueil-de-la-petite) [Partenariat avec les centres sociaux et des associations locales : exemple de la CA de Choletais](https://optigede.ademe.fr/fiche/partenariat-avec-les-centres-sociaux-et-les-associations-choletaises)

**Synergies avec les acteurs du développement économique**

[Développement d’un laboratoire d’innovation en économie circulaire : exemple du syndicat mixte Cyclad](https://www.optigede.ademe.fr/fiche/cyclab-le-laboratoire-dinnovation-en-economie-circulaire-de-cyclad) [Pogramme d’accompagnement dans des démarches énergie-déchets : exemple de la CC du Thouarsais](https://www.optigede.ademe.fr/fiche/lancement-dun-programme-daccompagnement-des-entreprises-du-thouarsais-dans-des-demarches)","**Former et informer les élus**

[Réduire les déchets dans mon territoire](https://agirpourlatransition.ademe.fr/collectivites/elus-locaux-mandat-agir/aujourdhui-mon-territoire/reduire-dechets-mon-territoire-agir) [Moins de déchets, une dynamique pour votre territoire !](https://optigede.ademe.fr/sites/default/files/prevention-argumentaire-moins-dechets-dynamique-territoire.pdf)

**Former les agents**

[Former (Ressources Optigede)](https://optigede.ademe.fr/prevention-formations) [Portail de l’ADEME sur les formations en lien avec l’économie circulaire](https://formations.ademe.fr/recherche-de-formation.html?stab=0&start=0&folid=26&search=&theme=31&reseau%5b%5d=&) [Compétences et formations et de l'économie circulaire : synthèse de groupes de travail](https://www.economiecirculaire.org/library/h/resultats-des-groupes-de-travail-competences-formation-de-l-economie-circulaire.html)

**Sensibilisation de tous les services**

[Mobiliser les communes sur un territoire de projet](https://www.ademe.fr/collectivites-secteur-public/animer-territoire/mobiliser-acteurs-territoire/mobiliser-communes-territoire-projet)

**Mobilisation des acteurs de son territoire grâce à l'Ecolabel européen**

[Synthèse thématique sur l'Ecolabel européen](https://librairie.ademe.fr/dechets-economie-circulaire/4945-l-ecolabel-europeen-il-ne-passera-pas-inapercu.html) [Moyens de promotion de l'Ecolabel européen](https://optigede.ademe.fr/outils-multi-acteurs/production-et-consommation-responsable/moyens-de-promotion)",30,,,,,,,,,,,,"eci_3, eci_2",
1.2.1,Former en interne,"La collectivité répertorie les compétences nécessaires pour la mise en œuvre de la stratégie, du programme d'actions, ainsi que pour leur suivi.

La collectivité met en place des formations internes (auprès des élus, des chargés de mission, des agents techniques, etc.), sur l'économie circulaire dans sa globalité ou sur les thématiques qu'elle comprend.

En collaboration avec les Ressources Humaines, le plan de formation annuel intègre des formations sur l’économie circulaire pertinentes pour chaque métier.",,"La collectivité peut répertorier les compétences nécessaires à la mise en œuvre des formations sur la base des fiches de poste de l'équipe technique.

Exemples de sujets de formation :

-   Economie circulaire en regard des 7 piliers
    
-   Prévention des déchets
    
-   Compostage
    
-   Achat durable
    
-   Gaspillage alimentaire
    

Des pistes de formations par l'ADEME - catalogue de formations programmées : https://formations.ademe.fr/solutions/recherche-de-formation.html?stab=0&start=0&folid=26&search=&theme=31",,,20,bases,,,,,,,,,,,
1.2.1.1,Définir un programme de formation économie circulaire,,,,,,10,,,,,,,,,,,,
1.2.1.2,Inclure dans le programme de formation des formations économie circulaire pour les élus et les techniciens,,,,,,30,,,,,,,,,,,,
1.2.1.3,Disposer de plus de 20% des unités de gestion qui ont au moins 1 salarié formé à l'économie circulaire,,,,,,20,,,,,,,,,,,,
1.2.1.4,Former le DGA/DGS à l'économie circulaire,,,,,,20,,,,,,,,,,,,
1.2.1.5,Former plus de 20% des élus à l'économie circulaire,,,,,,20,,,,,,,,,,,,
1.2.2,Mettre en place une transversalité des actions et des projets,"Les personnes en charge de la démarche d'économie circulaire sont invitées dans la comitologie de pilotage et de suivi des autres stratégies de la collectivité.

La collectivité co-construit des actions en économie circulaire, en mode inter-services pour favoriser la transversalité entre les services de la collectivité.

La stratégie Economie Circulaire est ainsi liée aux stratégies sectorielles existantes.",,"-   Intégrer les équipes économie circulaire à la conception et à la réalisation de projets en interaction avec les differents services de la collectivité :
    
-   Renouvellement des transports en commun : motorisation au biogaz
    
-   Communication : sensibilisation des citoyens à la consommation responsable
    
-   Jardins partagés : promotion du compostage collectif et formation au jardinage
    
-   Marchés d'approvisionnement de la cantine scolaire : alimentation durable, locale et de saison, cantine ""zéro gaspillage""
    
-   Manifestations culturelles : transfert vers l'éco-manifestation, événements zéro déchet, zéro-gaspi
    
-   Identifier des cycles de révision des stratégies sectorielles pour passer à la transversalité amont",,,20,mise en œuvre,,,"si identite(type, syndicat) alors VRAI
sinon si reponse(dev_eco_1, NON) alors VRAI
",Les syndicats ne sont pas concernés par la sous-action 1.2.2.,,,,,dev_eco_1,eci_30,
1.2.3,Intégrer l'économie circulaire dans les politiques territoriales,La collectivité intègre les équipes économie circulaire dans la conception de ses politiques et stratégies territoriales.,,"Les futurs axes stratégiques intègrent les composantes de l'économie circulaire dès leur élaboration.

-   Créer des groupes de coordination ad hoc (comités, commissions, agences ou groupes de travail)
    
-   Organiser des points de coordination ad hoc aux niveaux municipal, départemental, régional ou national. Conclure des accords avec le niveau adapté pour faciliter la mise en œuvre de la stratégie
    
-   Renforcer les liens avec les politiques et les stratégies de la collectivité :
    
-   Plans Alimentaires Territoriaux
    
-   PLUi
    
-   Stratégie Mobilité
    
-   Affaires culturelles
    
-   Stratégie RSE
    
-   etc.",,,20,mise en œuvre,,,"si identite(type, syndicat) alors VRAI
sinon si reponse(dev_eco_1, NON) alors VRAI
",Les syndicats ne sont pas concernés par la sous-action 1.2.3.,,,,,dev_eco_1,eci_31,
1.2.4,Mettre en place une transversalité inter-collectivités,"Dans l'objectif de réduire la production de déchets ou d'améliorer leur qualité, le syndicat agit auprès de ses collectivités adhérentes afin qu'elles intègrent l'économie circulaire dans leurs actions.

Le syndicat assiste et accompagne les EPCI adhérents pour les aider à intéger la dimension économie circulaire.dans leurs compétences (urbanisme, mobilité, affaires scolaires, développement économique, etc.).",,"Par sa connaissance des flux de déchets, le syndicat est capable d'identifier les gisements de déchets problématiques à optimiser. Sur cette base, le syndicat peut ainsi prendre un rôle d'animateur pour un dialogue avec et entre ses EPCI adhérents.

Exemples:

Pour la compétence Bâtiment - Le syndicat mobilise les EPCI adhérents afin d'améliorer le tri sur chantier ou permettre une organisation différente de la collecte, facilitant la gestion des déchets du BTP. Le syndicat propose les bourses aux matériaux facilitant le réemploi.

Pour la filière Tourisme - Le syndicat mobilise les EPCI adhérents pour instaurer un dialogue entre les producteurs locaux d'alimentation et les organisations hébergeant les touristes, afin d' instaurer des chaines d'approvisionnement locales et limiter la quantité d'emballages individuels utilisés.

Agir sur la sobriété - voir 3.3 et particulièrement 3.3.4",,,40,mise en œuvre,,,"si identite(type, syndicat) alors FAUX sinon VRAI
",Les syndicats ne sont pas concernés par la sous-action 1.2.4.,,,,,,,
1.2.4.1,Partager avec les EPCI les observations sur les gisements de déchets à optimiser,,,,,,25,,,,,,,,,,,,
1.2.4.2,Accompagner collectivement les EPCI adhérents vers la construction d'actions sur leurs autres compétences,,,,,,25,,,,,,,,,,,,
1.2.4.3,Réaliser des actions de prévention et de sobriété en amont de la production de déchets dans le cadre d'une compétence,,,,,,25,,,,,,,,,,,,
1.2.4.4,Réaliser des actions de prévention et de sobriété en amont de la production de déchets dans le cadre de plusieurs compétences,,,,,,25,,,,,,,,,,,,
1.3,"Suivre, évaluer et améliorer le déploiement de la politique Économie Circulaire","L'efficacité de la politique Économie Circulaire de la collectivité dépend de sa capacité à suivre, évaluer et adapter ses plans d'actions. Pour cela, la collectivité doit mettre en œuvre des outils de reporting, quantifier les résultats obtenus et adapter/réorienter régulièrement les actions envisagées.",,"**Indicateurs**

[Suivi d'activité de la ressourcerie du Limousin pour la prévention et l'observatoire régional](https://optigede.ademe.fr/fiche/suivi-d-activite-pour-la-prevention-et-l-observatoire-regional) [Sondage pratiques de prévention des déchets : exemple du Conseil général de Moselle](https://optigede.ademe.fr/fiche/enquete-d-opinion-visant-mesurer-l-efficacite-des-actions-mises-en-place-dans-le-cadre-des-dis)

**Restitution des résultats**

[Indicateurs et résultats du programme d'actions de réduction des déchets du Conseil départemental de l'Essone](https://optigede.ademe.fr/fiche/programme-dactions-de-reduction-des-dechets-produits-par-le-conseil-departemental) [Exemples d’évènements annuels de restitution du guide PLPDMA (ressource A38)](https://optigede.ademe.fr/plan-programme-prevention) [Bilan Programme Local de Prévention des Déchets](https://www.cacem.fr/wp-content/uploads/2022/08/Bilan-PLPDMA-2020-2021.pdf)

[Ménagers et Assimilés CACEM 2020-2025](https://www.cacem.fr/wp-content/uploads/2022/08/Bilan-PLPDMA-2020-2021.pdf) (pdf)

[Bilan PLPDMA SMICTOM Alsace Centrale 2021](https://www.cacem.fr/wp-content/uploads/2022/08/Bilan-PLPDMA-2020-2021.pdf) (pdf)","**Types d’indicateurs existants**

[Indicateurs de l’économie circulaire (Eurostat)](https://ec.europa.eu/eurostat/fr/web/circular-economy/information-data#Mati%C3%A8res%20premi%C3%A8res%20secondaires) [Indicateurs clés pour l’économie circulaire](https://www.statistiques.developpement-durable.gouv.fr/edition-numerique/economie-circulaire/) (pdf) [Indicateurs de l’économie circulaire pour les entreprises (Epe et Institut de l’économie circulaire)](https://institut-economie-circulaire.fr/wp-content/uploads/2018/10/2018_indicateurs_economie_circulaire_entreprises.pdf) (pdf)

**Méthodologie sur la définition des indicateurs (PLPDMA)**

[Elaborer et conduire avec succès un PLPDMA](https://librairie.ademe.fr/dechets-economie-circulaire/1736-elaborer-et-conduire-avec-succes-un-plpdma-synthese.html) [Note méthodologique pour l’élaboration d’indicateurs de programmes et de plan](https://optigede.ademe.fr/sites/default/files/note_methodologique_indicateurs.pdf)",30,,,,,,,,,,,,,
1.3.1,Déterminer des indicateurs spécifiques dotés d'objectifs,"Dans le cadre de sa stratégie, la collectivité détermine :

des indicateurs de résultats lui permettant de piloter la réalisation du programme d’actions.

des indicateurs d'impact lui permettant de mesurer l'efficacité de son programme d'actions et suivre la trajectoire de sa stratégie.

En accord avec la stratégie, elle détermine un objectif pour chaque indicateur spécifique.

Les indicateurs sont suivis avec des données fiables.",,"Identifier des indicateurs de résultat par action, ainsi que leurs objectifs et usages.

Identifier des indicateurs d'impact par action ou domaine d'actions, ainsi que leurs objectifs et usages.

Identifier des indicateurs transversaux et spécifiques aux secteurs activités ou filières stratégiques du territoire.

Mettre en place la collecte de données pour suivre les indicateurs identifiés.

Rendre accessibles certaines données pertinentes aux acteurs du territoire afin d'alimenter leurs actions et motivation.

Exemple d'indicateur : gaspillage alimentaire dans les cantines scolaires en g/repas

→ permet de mesurer l'efficacité des actions orientées vers une diminution de cette notion.",,,50,bases,,,,,,,,,,,
1.3.1.1,Identifier les indicateurs de résultat,,,,,,50,,,,,,,,,,,,
1.3.1.2,Identifier les indicateurs d'impact,,,,,,25,,,,,,,,,,,,
1.3.1.3,Identifier les indicateurs spécifiques par secteur stratégique (en lien avec l'orientation 3.1),,,,,,25,,,,,,,,,,,,
1.3.2,Effectuer le bilan et ajuster les actions,"La collectivité effectue un bilan annuel sur la base des indicateurs proposés par le Référentiel Economie Circulaire ou choisis par la collectivité. Elle en tire des conclusions aboutissant à un ajustement de sa politique et de sa stratégie Economie Circulaire ainsi qu'à une modification du programme d'actions.

Elle élabore un document synthétique pour présenter l'évolution des indicateurs et la mise à jour des actions.",,"Le COPIL interne et la Gouvernance sont associés à la revue annuelle. Des éventuels ajustements sont intégrés dans le programme d'actions. La stratégie peut aussi être ajustée si les raisons sont valables.

Les bilans peuvent être plus fréquents si la collectivité le juge nécessaire.

Des bilans spécifiques par filière ou par thématique peuvent également être réalisés grâce aux indicateurs de résultats, d'impact et spécifiques par secteur stratégique.",,,50,effets,,,,,,,,,,,
1.3.2.1,Réaliser le bilan,,,,,,40,,,,,,,,,,,,
1.3.2.2,Partager le bilan avec la gouvernance,,,,,,10,,,,,,,,,,,,
1.3.2.3,Communiquer sur le bilan à l'externe,,,,,,20,,,,,,,,,,,,
1.3.2.4,"Mettre à jour régulièrement le programme d'actions au regard, notamment, de l'évaluation",,,,,,30,,,,,,,,,,,,
2,"Développement des services de réduction, collecte et valorisation des déchets",,,,,80,,,,,,,,,,,,,
